Region,Country,Political Finance Score,Lobbying,Avg Integrity Score,CPI Score 2024
Africa,Angola,28.34,,28.34,32
Africa,Benin,10,,10,45
Africa,Botswana,9.64,,9.64,57
Africa,Burkina Faso,12.86,,12.86,41
Africa,Cameroon,9.81,,9.81,26
Africa,Cote d'Ivoire,2,,2,45
Africa,Ghana,29.28,,29.28,42
Africa,Kenya,29.28,,29.28,32
Africa,Liberia,26.07,,26.07,27
Africa,Malawi,27.91,,27.91,34
Africa,Morocco,59.09,,59.09,37
Africa,Mozambique,28.94,,28.94,25
Africa,Namibia,5.71,,5.71,49
Africa,Nigeria,32.26,,32.26,26
Africa,Rwanda,18.57,,18.57,57
Africa,Sierra Leone,36.67,,36.67,33
Africa,South Africa,47.83,,47.83,41
Africa,Togo,12.29,,12.29,32
Africa,Tunisia,41.43,,41.43,39
Africa,Uganda,41.31,,41.31,26
Latin America and the Caribbean,Argentina,74.97,,74.97,37
Latin America and the Caribbean,Bolivia (Plurinational State of),27.63,,27.63,28
Latin America and the Caribbean,Brazil,88.74,14.78,88.74,34
Latin America and the Caribbean,Chile,76.6,88.63,76.6,63
Latin America and the Caribbean,Colombia,64.9,26.46,64.9,39
Latin America and the Caribbean,Costa Rica,65.45,3.77,65.45,58
Latin America and the Caribbean,Dominican Republic,64.01,,64.01,36
Latin America and the Caribbean,Ecuador,53.94,,53.94,32
Latin America and the Caribbean,El Salvador,27.24,,27.24,30
Latin America and the Caribbean,Guatemala,76.95,,76.95,25
Latin America and the Caribbean,Honduras,64.59,,64.59,22
Latin America and the Caribbean,Jamaica,52.07,,52.07,44
Latin America and the Caribbean,Mexico,61.91,30.85,61.91,26
Latin America and the Caribbean,Panama,59.53,,59.53,33
Latin America and the Caribbean,Paraguay,70.17,,70.17,24
Latin America and the Caribbean,Peru,78.56,,78.56,31
Latin America and the Caribbean,Uruguay,67.31,,67.31,76
